,latitude,longitude,start_count,station,end_count
657,40.77282817,-73.96685276,6116.0,5 Ave & E 73 St,6073
658,40.7728384,-73.94989233,2379.0,E 81 St & York Ave,2386
659,40.7729,-73.91614200000001,580.0,24 Ave & 29 St,557
660,40.77314236,-73.95856158,2135.0,E 77 St & 3 Ave,2149
661,40.7734066,-73.97782542,7271.0,Central Park West & W 68 St,6253
662,40.773763,-73.96222088,2125.0,E 76 St & Park Ave,2136
663,40.7739825,-73.93091340000001,526.0,27 Ave & 9 St,522
664,40.774591,-73.918544,597.0,24 Ave & 26 St,591
665,40.774645,-73.92370600000001,513.0,21 St & Hoyt Ave S,506
666,40.7746671,-73.98470567,2458.0,Amsterdam Ave & W 66 St,2478
667,40.77477944895728,-73.95427465438844,2281.0,E 81 St & 2 Ave,2298
668,40.7747878,-73.91255509999999,2136.0,31 St & 23 Ave,2124
669,40.77485,-73.9342,188.0,27 Ave & 3 St,202
670,40.77492513,-73.98266566,4619.0,W 67 St & Broadway,4390
671,40.77515953434235,-73.98918695747851,4082.0,W 64 St & Thelonious Monk Circle,3846
672,40.77518615,-73.94446054,1046.0,East End Ave & E 86 St,1046
673,40.77536905,-73.94803392,1510.0,E 85 St & York Ave,1512
674,40.77565541,-73.95068615,2911.0,E 84 St & 1 Ave,2921
675,40.77573034,-73.9567526,1771.0,E 81 St & 3 Ave,1774
676,40.77579376683666,-73.97620573639871,7385.0,Central Park West & W 72 St,6620
677,40.776165,-73.9153175,407.0,23 Ave & 27 St,394
678,40.776173,-73.959757,763.0,E 80 St & Park Ave,773
679,40.77632142182271,-73.96427392959596,4228.0,5 Ave & E 78 St,4170
680,40.7767,-73.927631,854.0,Astoria Park S & Shore Blvd,854
681,40.7770575,-73.97898475,7489.0,Columbus Ave & W 72 St,5915
682,40.777455200000006,-73.9225403,639.0,19 St & 24 Ave,629
683,40.77748046,-73.98288594,4515.0,W 70 St & Amsterdam Ave,4213
684,40.777507027547976,-73.98888587951659,3643.0,Riverside Blvd & W 67 St,3482
685,40.777553742988864,-73.95512759685515,3800.0,E 84 St & 3 Ave,3814
686,40.7779453,-73.94604100000001,2053.0,E 89 St & York Ave,2055
687,40.7781314,-73.96069399,2991.0,Madison Ave & E 82 St,2967
